iter	Passed	Remaining
0	1	1744
1	3	1754
2	5	1719
3	6	1726
4	9	1818
5	11	1828
6	12	1799
7	14	1776
8	16	1774
9	18	1824
10	19	1798
11	21	1729
12	21	1669
13	23	1670
14	25	1674
15	27	1682
16	29	1679
17	30	1674
18	32	1669
19	34	1669
20	35	1665
21	37	1663
22	39	1661
23	40	1650
24	42	1653
25	44	1649
26	46	1660
27	47	1661
28	49	1657
29	51	1658
30	53	1667
31	55	1672
32	57	1675
33	59	1679
34	60	1678
35	62	1675
36	64	1675
37	65	1670
38	67	1666
39	68	1651
40	70	1646
41	71	1642
42	73	1636
43	75	1632
44	76	1630
45	78	1628
46	80	1624
47	81	1619
48	83	1617
49	84	1613
50	86	1610
51	88	1604
52	89	1602
53	91	1599
54	92	1596
55	94	1593
56	96	1590
57	97	1586
58	99	1586
59	101	1584
60	102	1581
61	104	1577
62	105	1575
63	107	1572
64	109	1569
65	110	1566
66	112	1568
67	114	1565
68	115	1562
69	117	1559
70	118	1556
71	120	1555
72	122	1553
73	124	1551
74	125	1549
75	127	1546
76	128	1543
77	130	1540
78	131	1537
79	133	1534
80	135	1531
81	136	1529
82	138	1526
83	139	1524
84	141	1526
85	143	1525
86	145	1522
87	146	1519
88	148	1516
89	149	1513
90	151	1510
91	152	1507
92	154	1505
93	155	1502
94	157	1499
95	158	1496
96	160	1493
97	162	1491
98	163	1488
99	165	1485
100	166	1482
101	168	1480
102	169	1477
103	171	1474
104	172	1471
105	174	1470
106	176	1468
107	177	1467
108	179	1465
109	180	1463
110	182	1460
111	184	1458
112	185	1456
113	187	1454
114	188	1452
115	190	1451
116	192	1449
117	193	1446
118	195	1444
119	196	1441
120	198	1439
121	199	1437
122	201	1434
123	202	1431
124	204	1430
125	205	1427
126	207	1427
127	209	1425
128	210	1423
129	212	1421
130	213	1419
131	215	1417
132	216	1412
133	218	1409
134	219	1407
135	221	1404
136	222	1402
137	224	1400
138	225	1397
139	227	1395
140	228	1393
141	230	1391
142	231	1389
143	233	1387
144	234	1385
145	236	1383
146	238	1381
147	239	1380
148	241	1378
149	243	1377
150	244	1376
151	246	1375
152	248	1373
153	249	1371
154	251	1369
155	252	1367
156	254	1366
157	256	1364
158	257	1364
159	259	1364
160	261	1362
161	262	1360
162	264	1357
163	266	1356
164	267	1354
165	269	1352
166	270	1350
167	272	1348
168	273	1343
169	274	1342
170	276	1340
171	278	1338
172	279	1336
173	281	1334
174	283	1336
175	284	1334
176	286	1332
177	288	1331
178	289	1329
179	291	1327
180	292	1325
181	294	1323
182	296	1321
183	297	1319
184	299	1317
185	300	1315
186	302	1313
187	303	1312
188	305	1310
189	306	1307
190	308	1305
191	309	1303
192	311	1302
193	312	1299
194	314	1298
195	316	1296
196	317	1294
197	319	1292
198	320	1291
199	322	1288
200	323	1287
201	325	1285
202	326	1283
203	328	1281
204	329	1278
205	331	1276
206	333	1277
207	335	1276
208	336	1274
209	338	1273
210	339	1271
211	341	1269
212	343	1268
213	344	1266
214	346	1265
215	348	1263
216	349	1261
217	351	1260
218	352	1258
219	354	1256
220	355	1254
221	357	1252
222	358	1250
223	360	1248
224	361	1244
225	362	1243
226	364	1241
227	366	1239
228	367	1237
229	369	1235
230	370	1233
231	372	1232
232	373	1230
233	375	1228
234	376	1226
235	378	1224
236	380	1223
237	381	1222
238	383	1220
239	385	1219
240	386	1217
241	388	1216
242	389	1214
243	391	1212
244	393	1211
245	394	1209
246	396	1208
247	398	1207
248	399	1206
249	402	1207
250	404	1205
251	405	1203
252	407	1202
253	408	1200
254	410	1199
255	412	1197
256	413	1195
257	414	1193
258	416	1191
259	417	1189
260	419	1187
261	420	1185
262	422	1183
263	423	1181
264	425	1180
265	427	1178
266	428	1176
267	430	1175
268	431	1173
269	433	1171
270	434	1169
271	436	1167
272	437	1166
273	439	1164
274	440	1162
275	442	1160
276	443	1158
277	445	1157
278	447	1155
279	448	1153
280	450	1151
281	451	1149
282	453	1148
283	454	1146
284	456	1144
285	457	1142
286	459	1141
287	460	1139
288	462	1137
289	463	1135
290	465	1133
291	466	1132
292	468	1130
293	470	1128
294	471	1126
295	473	1125
296	474	1123
297	476	1121
298	477	1120
299	479	1118
300	480	1116
301	482	1115
302	484	1113
303	485	1112
304	487	1110
305	488	1108
306	490	1106
307	491	1105
308	493	1103
309	495	1101
310	496	1100
311	498	1098
312	499	1096
313	501	1095
314	502	1093
315	504	1091
316	506	1090
317	507	1088
318	509	1087
319	510	1085
320	512	1083
321	513	1082
322	515	1080
323	517	1080
324	519	1079
325	521	1077
326	522	1076
327	524	1074
328	526	1073
329	528	1072
330	529	1070
331	531	1068
332	532	1067
333	534	1065
334	535	1063
335	537	1062
336	539	1060
337	540	1058
338	542	1057
339	543	1055
340	545	1054
341	547	1052
342	548	1050
343	550	1049
344	551	1047
345	554	1047
346	555	1045
347	557	1044
348	558	1042
349	560	1040
350	562	1039
351	563	1037
352	565	1036
353	566	1034
354	568	1033
355	570	1031
356	572	1030
357	574	1029
358	575	1028
359	577	1026
360	578	1024
361	580	1022
362	582	1021
363	583	1019
364	585	1017
365	586	1016
366	588	1014
367	589	1012
368	591	1011
369	592	1009
370	594	1007
371	596	1006
372	597	1004
373	599	1003
374	600	1001
375	602	1000
376	604	998
377	605	996
378	607	995
379	608	993
380	610	991
381	612	990
382	613	988
383	615	986
384	616	985
385	618	983
386	619	981
387	621	980
388	623	978
389	624	976
390	626	975
391	627	973
392	629	971
393	630	970
394	632	968
395	634	967
396	635	965
397	637	964
398	638	962
399	640	960
400	642	959
401	643	957
402	645	956
403	647	954
404	648	953
405	650	951
406	652	950
407	653	948
408	655	946
409	656	945
410	658	943
411	659	941
412	661	940
413	662	938
414	664	936
415	666	935
416	667	933
417	669	932
418	671	930
419	672	929
420	674	927
421	676	926
422	677	924
423	679	923
424	681	921
425	683	920
426	684	919
427	686	917
428	688	915
429	690	914
